CAMIS,YEAR,SCORE,SCORE CHANGE
40386481,2012.5,9.625,-9.0
40386508,2013.0,9.5,0.0
40386515,2013.5,13.375,3.0
40386528,2013.5,9.375,0.0
40386554,2013.0,13.0833333333,8.0
40386556,2013.0,10.0,1.0
40386569,2014.0,8.83333333333,0.0
40386612,2013.5,8.25,-9.0
40386616,2013.0,13.8333333333,-3.0
40386619,2013.0,9.66666666667,8.0
40386646,2014.0,8.66666666667,1.0
40386672,2013.5,10.25,-3.0
40386675,2014.0,9.5,2.0
40386722,2013.0,13.3333333333,-1.0
40386747,2013.5,10.625,4.0
40386793,2013.5,13.375,-11.0
40386837,2013.0,1.66666666667,-2.0
40386927,2013.5,19.0,2.0
40386970,2012.5,8.0,12.0
40386976,2013.5,8.875,20.0
40386999,2014.0,9.33333333333,3.0
40387027,2013.0,8.83333333333,-5.0
40387086,2013.0,10.5,1.0
40387143,2012.0,7.83333333333,-5.0
40387162,2013.5,10.125,-2.0
40387178,2013.5,6.25,8.0
40387201,2013.0,11.8333333333,2.0
40387237,2013.0,39.0,62.0
40387243,2013.5,22.625,-36.0
40387277,2013.5,14.0,3.0
40387339,2012.5,11.625,-4.0
40387357,2014.0,28.0,-11.0
40387399,2013.5,9.625,2.0
40387418,2013.5,10.125,-5.0
40387428,2013.33333333,8.5,2.0
40387477,2014.0,11.3333333333,0.0
40387528,2014.0,9.0,0.0
40387549,2014.0,10.6666666667,-10.0
40387746,2013.0,9.83333333333,1.0
40387754,2013.0,7.33333333333,-9.0
40387787,2013.5,11.0,2.0
40387825,2013.5,14.375,9.0
40387861,2012.5,14.125,1.0
40387876,2013.5,10.125,-1.0
40387890,2012.5,16.625,11.0
40387907,2012.5,13.6666666667,3.0
40387986,2013.5,10.25,-4.0
40387990,2013.0,11.5555555556,-1.0
40388016,2012.5,9.375,4.0
40388091,2014.0,11.6666666667,0.0
40388134,2012.5,7.25,-1.0
40388194,2013.5,12.5,4.0
40388209,2012.5,17.25,12.0
40388214,2013.5,9.25,-1.0
40388218,2013.0,8.66666666667,5.0
40388225,2013.5,21.0,-1.0
40388235,2013.0,10.8333333333,7.0
40388253,2013.5,10.0,1.0
40388260,2013.0,14.0,30.0
40388269,2012.5,3.0,0.0
40388270,2013.33333333,6.33333333333,10.0
40388281,2014.0,15.0,6.0
40388321,2013.0,10.0,0.0
40388348,2012.5,8.0,0.0
40388386,2012.5,20.375,4.0
40388392,2013.5,11.125,-2.0
40388419,2013.5,13.25,-5.0
40388457,2013.0,7.83333333333,-2.0
40388462,2012.5,15.375,13.0
40388578,2012.5,12.0,0.0
40388619,2013.0,6.33333333333,-2.0
40388639,2013.5,10.5,-4.0
40388640,2012.5,7.75,9.0
40388668,2013.0,5.5,9.0
40388672,2013.5,14.0,6.0
40388703,2013.0,6.22222222222,-10.0
40388730,2013.5,9.625,2.0
40388747,2012.5,8.75,0.0
40388784,2013.33333333,6.33333333333,3.0
40388787,2013.0,7.83333333333,-4.0
40388808,2013.5,9.375,9.0
40388818,2013.5,20.625,-13.0
40388823,2013.0,7.83333333333,4.0
40388828,2012.5,9.5,-2.0
40388863,2013.0,14.1666666667,1.0
40388901,2012.5,8.125,4.0
40388917,2013.5,7.5,5.0
40388935,2013.0,12.1666666667,2.0
40388936,2012.5,8.25,-2.0
40389011,2014.0,11.7222222222,6.0
40389038,2012.5,7.5,-7.0
40389114,2012.33333333,8.16666666667,-1.0
40389115,2013.5,11.5,-3.0
40389138,2013.5,12.125,-2.0
40389175,2013.0,3.11111111111,12.0
40389243,2013.5,12.5,-14.0
40389266,2012.5,13.125,3.0
40389295,2013.0,10.3333333333,0.0
40389308,2013.0,9.0,12.0
40389356,2012.5,11.25,5.0
40389357,2013.5,11.5,2.0
40389365,2013.5,10.5,0.0
40389455,2013.66666667,12.3333333333,4.0
40389504,2012.5,8.375,1.0
40389594,2013.5,15.25,-2.0
40389601,2013.5,11.75,-1.0
40389633,2013.5,9.125,2.0
40389681,2012.0,10.5,-8.0
40389701,2013.5,20.25,-17.0
40389710,2013.5,13.625,-16.0
40389732,2014.0,7.83333333333,5.0
40389807,2012.5,9.625,-10.0
40389819,2012.5,11.125,4.0
40389881,2012.5,11.375,-2.0
40389900,2013.5,6.75,9.0
40389903,2013.0,9.33333333333,8.0
40389907,2012.5,7.75,5.0
40389994,2013.5,6.625,0.0
40390046,2013.5,10.75,4.0
40390163,2014.0,7.0,5.0
40390185,2013.0,10.3333333333,-4.0
40390186,2013.5,12.0,4.0
40390194,2013.0,7.5,-1.0
40390209,2013.0,11.8333333333,0.0
40390232,2013.0,9.38888888889,-9.0
40390235,2013.5,10.375,-1.0
40390241,2013.0,8.33333333333,-10.0
40390266,2013.0,15.6666666667,0.0
40390409,2012.5,8.5,-4.0
40390536,2013.5,11.25,-5.0
40390547,2013.5,9.875,-5.0
40390653,2013.5,9.5,0.0
40390655,2013.0,10.5,-3.0
40390696,2012.5,14.75,5.0
40390698,2013.5,12.5,1.0
